A-Star h2,500,Unsolved,0
Beam 80,500,Unsolved,0
A-Star h1,500,Unsolved,0
A-Star h2,500,Unsolved,0
Beam 80,500,Unsolved,0
A-Star h1,500,Unsolved,0
A-Star h2,500,Unsolved,0
Beam 80,500,Unsolved,0
A-Star h1,500,Unsolved,0
A-Star h2,500,Unsolved,0
Beam 80,500,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,600,Unsolved,0
A-Star h2,600,Unsolved,0
Beam 80,600,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Solved,22
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,700,Unsolved,0
A-Star h2,700,Unsolved,0
Beam 80,700,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Unsolved,0
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,18
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
A-Star h2,800,Solved,20
Beam 80,800,Unsolved,0
A-Star h1,800,Unsolved,0
